emp_no,first_name,last_name,title
10004,Chirstian,Koblick,Engineer
10005,Kyoichi,Maliniak,Staff
10009,Sumant,Peac,Engineer
10011,Mary,Sluis,Staff
10018,Kazuhide,Peha,Engineer
10026,Yongqiao,Berztiss,Engineer
10035,Alain,Chappelet,Engineer
10047,Zvonko,Nyanchama,Engineer
10051,Hidefumi,Caine,Engineer
10057,Ebbe,Callaway,Engineer
10066,Kwee,Schusler,Engineer
10067,Claudi,Stavenow,Engineer
10072,Hironoby,Sidou,Engineer
10073,Shir,McClurg,Engineer
10088,Jungsoon,Syrzycki,Staff
10091,Amabile,Gomatam,Engineer
10097,Remzi,Waschkowski,Staff
10100,Hironobu,Haraldson,Staff
10101,Perla,Heyers,Staff
10106,Eben,Aingworth,Engineer
10108,Lunjin,Giveon,Staff
10116,Dayanand,Czap,Senior Engineer
10126,Kayoko,Valtorta,Staff
10131,Magdalena,Eldridge,Engineer
10134,Diederik,Siprelle,Engineer
10138,Perry,Shimshoni,Engineer
10149,Xiadong,Perry,Staff
10150,Zhenbing,Perng,Engineer
10152,Jaques,Munro,Engineer
10160,Debatosh,Khasidashvili,Staff
10161,Hairong,Mellouli,Engineer
10177,Pragnesh,Iisaka,Staff
10186,Shigehito,Kropatsch,Staff
10189,Khalid,Erva,Engineer
10194,Josyula,Hofmeyr,Staff
10198,Pranav,Furedi,Engineer
10203,Steen,Escriba,Staff
10207,Girolamo,Anandan,Engineer
10217,Yongmin,Roison,Technique Leader
10224,Leon,Trogemann,Engineer
10228,Karoline,Cesareni,Staff
10229,Ulises,Takanami,Engineer
10230,Clyde,Vernadat,Staff
10233,Lein,Vendrig,Staff
10237,Yannis,Mandell,Senior Staff
10248,Frederique,Tempesti,Staff
10249,Marie,Boreale,Engineer
10258,Basil,Ishibashi,Engineer
10278,Lubomir,Nitsch,Engineer
10281,Moty,Kusakari,Engineer
10282,Hercules,Benzmuller,Assistant Engineer
10283,Kauko,Birjandi,Engineer
10286,Saddek,Gopalakrishnan,Staff
10294,Rutger,Miara,Senior Engineer
10295,Kristine,Velardi,Staff
10302,Faiza,Baer,Senior Staff
10305,Hirochika,Piancastelli,Engineer
10321,Guenter,Ravishankar,Staff
10322,Isamu,Dahlbom,Engineer
10327,Roded,Facello,Engineer
10333,Snehasis,Dymetman,Engineer
10340,Djelloul,Laventhal,Staff
10349,Oksana,Brodie,Staff
10350,Kristen,Kavvadias,Engineer
10363,Toshiki,Muniz,Assistant Engineer
10367,Hyuckchul,Gini,Staff
10374,Willard,Rosin,Staff
10382,Shirish,Dredge,Engineer
10387,Parto,Wrigley,Staff
10395,Takahiro,Deverell,Engineer
10404,Prodip,Rosti,Engineer
10413,Danel,Impagliazzo,Staff
